site,ntrees,Phytoregion,Island,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,mean_elv,mean_bdod,mean_cfvo,mean_pH,mean_sand,mean_soc,Area,Dist,GMMC,mean_HMI,mean_FR,mean_EX,LEVEL3_NAM
-3_-66,1545,Americas,Mainland,26.550585799747044,8.952972094217936,86.48510466681586,28.407203250461155,31.85183302561442,21.49889585706923,10.352937168545193,26.466587013668484,26.483285903930664,26.876050843132866,26.22324302461412,2928.222222222222,336.44444444444446,159.72222222222223,24.167072984907364,949.1388888888889,502.19444444444446,625,637.6111111111111,69.27777777777777,1.0889544158911384,3.6028804304816804,4.118404346312918,23.166950955936983,42.524443787571855,NA,0,1,0.003999103843154613,9.356406047072087e-4,8.637683643043135e-6,Brazil North
-3_-67,1200,Americas,Mainland,26.304488605923122,8.947431325912476,85.66432656182184,31.715852631462944,31.584951718648274,21.139743010203045,10.44520870844523,26.25446759329902,26.169642395443386,26.63009966744317,25.901875019073486,2951.5833333333335,316.05555555555554,164.02777777777777,20.99904759724935,918.2777777777778,525.1944444444445,633.6111111111111,667.8611111111111,71.27777777777777,1.0866656044812635,2.5021193338458434,4.106139469320596,24.197050502298577,46.47593243765994,NA,0,1,0.00631446564190787,0.003189770945038894,0,Brazil North
-3_-68,722,Americas,Mainland,26.0177927547031,8.978818284140694,85.55688497755263,35.56615797678629,31.280694325764973,20.786013815138077,10.4946805106269,25.998769654168022,25.855224503411186,26.369338936275906,25.521037154727512,2979.75,307.1111111111111,170.77777777777777,19.51127333111233,895.2777777777778,551.0833333333334,681.5,732.6666666666666,84.08333333333333,1.0914743853668423,1.6746413065560628,4.154618915042689,31.302686856296443,50.273349731162526,NA,0,1,0.006880720935983352,0.002581061897945196,3.150456694965262e-6,Brazil North
-3_-70,1504,Americas,Mainland,26.533454418182373,7.944744295544094,81.67309379577637,39.213653246561684,31.39674970838759,21.670159763760036,9.72658994462755,26.49872334798177,26.425869094000923,27.00388897789849,26.001752535502117,2980.8611111111113,311.8611111111111,168.36111111111111,19.31589545143975,894.1111111111111,562.5277777777778,657.5555555555555,690.8611111111111,109.27777777777777,1.100246469292834,1.3106699842844678,4.331340101800164,40.3224024363129,50.20714775042805,NA,0,1,0.0024758053798097654,1.1037156927345696e-4,0,Colombia
-3_-73,4582,Americas,Mainland,26.15577220916748,9.344894038306343,85.10697280036078,45.81405618455675,31.537444644504124,20.55773639678955,10.979708247714573,26.15629514058431,25.70549662907918,26.61382065878974,25.50771162245009,3137.75,331.5,206.66666666666666,16.59172993236118,946.3611111111111,637.8055555555555,762.5833333333334,670.6944444444445,132.08333333333334,1.0977208179069409,2.6879028190224448,4.506042448982418,47.801169479716826,94.72340084008209,NA,0,1,0.004761411853229772,0.0019032226366089043,0,Peru
-3_-77,325,Americas,Mainland,25.931997723049587,9.971483733918932,89.29922442966037,39.29890537261963,31.466895792219375,20.30050007502238,11.166395717196995,25.75825113720364,25.86466778649224,26.30172438091702,25.357133282555473,2655.8611111111113,269.72222222222223,174.33333333333331,13.783493783738878,777.2777777777778,574.8055555555555,613.7222222222222,659.2222222222222,241.02777777777777,1.1150489839942546,2.7483961492882307,4.511212966695593,40.64085048797721,82.97741744719279,NA,0,1,0.0033599852806715774,3.83258417884063e-4,2.413941558772405e-5,Peru
-3_10,661,Africa,Mainland,25.226198959350587,6.744751421610514,57.98487319946289,155.17457580566406,30.886033248901366,19.25711186726888,11.628921381632487,25.916043345133463,23.064990870157878,26.843751271565754,23.064990870157878,1624.9333333333334,330,0.8666666666666667,77.66263071695964,703.6666666666666,11.333333333333334,613.2,11.333333333333334,49.13333333333333,1.1358391122051086,6.798226890183645,5.112694008683982,45.82641434735606,48.75008246659945,NA,0,1,0.06522132117991053,0.0027305247987182246,8.32576958892044e-5,Gabon
-3_11,2897,Africa,Mainland,24.78354220920139,7.322811855210198,61.469476064046226,143.9985376993815,30.534863895840115,18.628759119245743,11.906104776594374,25.401159286499023,22.710875882042778,26.21601390838623,22.710875882042778,1585.75,309.8888888888889,0.8055555555555557,77.55135536193848,681.5833333333334,8,613.0555555555555,8,226.77777777777777,1.1556494669023412,8.503217112061275,5.014896022307243,44.591122244352285,42.19617196324476,NA,0,1,0.026544330585120304,0.001200231074400135,0,Gabon
-3_139,691,Asia,Island,25.783902751074898,8.344382021162245,90.1054195827908,29.05204004711575,30.425430668724907,21.164583259158665,9.260847409566244,25.933454725477432,25.399966292911106,26.02180094189114,25.364911980099148,2815.3055555555557,334.6388888888889,177.77777777777777,21.81170156266954,911.4166666666666,562.6944444444445,792.7777777777778,572.9166666666666,323.97222222222223,1.0688153596841654,7.626761978490327,5.01855126047877,31.77575274278713,70.35785399208018,1.23,1002.15,1,0.002691124154982789,5.181406097394014e-4,0,New Guinea
-3_16,3952,Africa,Mainland,25.106544017791748,9.962857643763224,78.14675437079535,68.38934877183702,31.145374880896675,18.38862493303087,12.756749947865805,25.11088768641154,24.198482513427734,25.900284820132786,24.198482513427734,1644.75,220.08333333333334,10.472222222222221,54.32166343265109,595.25,69.16666666666666,558.3055555555555,69.16666666666666,495.94444444444446,1.2614584052011313,1.963739167775396,5.10792210585092,49.728303604947335,29.549726017166883,NA,0,1,0.0696547263756004,0.013788014711980656,8.118603928613725e-6,Congo
